iter	RMSE
0	20.49418994
1	20.48991563
2	20.48497043
3	20.47903238
4	20.47487015
5	20.46504793
6	20.46403063
7	20.45589097
8	20.45047446
9	20.44378526
10	20.44320516
11	20.43784962
12	20.43409724
13	20.42679759
14	20.42196485
15	20.42195604
16	20.41723654
17	20.41281124
18	20.4093717
19	20.40591703
20	20.40311821
21	20.39863008
22	20.39824637
23	20.3939093
24	20.38865107
25	20.3873845
26	20.38578296
27	20.38299474
28	20.37905311
29	20.37603343
30	20.37533719
31	20.37121329
32	20.37112698
33	20.36875691
34	20.36872772
35	20.36730329
36	20.36588663
37	20.36491411
38	20.3629332
39	20.36042305
40	20.35998065
41	20.35933123
42	20.35669075
43	20.35664621
44	20.35664601
45	20.35465757
46	20.35345375
47	20.35282538
48	20.35073486
49	20.34726839
50	20.34651146
51	20.34428954
52	20.34415345
53	20.34259062
54	20.34063874
55	20.33660633
56	20.33553861
57	20.33414013
58	20.33377227
59	20.33367595
60	20.33168895
61	20.33105452
62	20.32983296
63	20.32940932
64	20.32828076
65	20.32668148
66	20.32636906
67	20.32534381
68	20.32328815
69	20.32318776
70	20.32293678
71	20.32096818
72	20.32069805
73	20.32052725
74	20.31935583
75	20.31852549
76	20.31849466
77	20.31642885
78	20.31573765
79	20.31492165
80	20.31446044
81	20.31166793
82	20.31014632
83	20.30806982
84	20.30711772
85	20.30517642
86	20.30357164
87	20.30278948
88	20.30276875
89	20.30082242
90	20.29954887
91	20.29822977
92	20.29821319
93	20.29796477
94	20.29634425
95	20.29529945
96	20.29525104
97	20.2939251
98	20.2918717
99	20.29186376
100	20.29175746
101	20.29131164
102	20.29075069
103	20.28948473
104	20.28831538
105	20.28737251
106	20.28698424
107	20.28696619
108	20.28610352
109	20.28591194
110	20.28368977
111	20.28333134
112	20.2832462
113	20.2826279
114	20.28117256
115	20.28037956
116	20.27988931
117	20.27884963
118	20.27785672
119	20.27785368
120	20.27647138
121	20.27596889
122	20.27591343
123	20.27525944
124	20.27439033
125	20.27351312
126	20.27349931
127	20.27291007
128	20.27284216
129	20.27179126
130	20.26993978
131	20.26992318
132	20.26991277
133	20.26944948
134	20.26834892
135	20.26805678
136	20.26798827
137	20.26721937
138	20.26589624
139	20.2652361
140	20.26419708
141	20.26401245
142	20.26328547
143	20.26267049
144	20.26266593
145	20.26148324
146	20.26033358
147	20.26024201
148	20.25948551
149	20.25847869
150	20.25809415
151	20.25674058
152	20.25645992
153	20.25645794
154	20.25596155
155	20.25485836
156	20.25416442
157	20.25406351
158	20.2535071
159	20.25285908
160	20.25271385
161	20.25207036
162	20.25186793
163	20.25072459
164	20.25015685
165	20.24869562
166	20.2480999
167	20.24809825
168	20.2475407
169	20.24739758
170	20.24676374
171	20.24638019
172	20.24550037
173	20.24433858
174	20.24342787
175	20.2429534
176	20.24236092
177	20.24184652
178	20.24130146
179	20.24073647
180	20.23937295
181	20.23847655
182	20.23801156
183	20.2370229
184	20.23624261
185	20.23569971
186	20.23498653
187	20.23433326
188	20.23361395
189	20.23323655
190	20.23212625
191	20.23118071
192	20.2308441
193	20.22973519
194	20.22919179
195	20.22833422
196	20.22778206
197	20.22744003
198	20.22657741
199	20.2259402
200	20.22553965
201	20.22503698
202	20.22465805
203	20.22419025
204	20.22321322
205	20.22284663
206	20.2224869
207	20.22197285
208	20.22138044
209	20.22102313
210	20.22047094
211	20.22000512
212	20.21962907
213	20.21869003
214	20.217896
215	20.21739795
216	20.21667122
217	20.21584493
218	20.21505107
219	20.21456689
220	20.21433554
221	20.21390106
222	20.2131775
223	20.21263538
224	20.21234462
225	20.21179995
226	20.21113574
227	20.21090739
228	20.21069284
229	20.21048342
230	20.2101893
231	20.20958279
232	20.20930496
233	20.20895836
234	20.20863571
235	20.20840183
236	20.208168
237	20.20760468
238	20.20706906
239	20.20685525
240	20.20636378
241	20.20604195
242	20.20588432
243	20.20551223
244	20.20493162
245	20.20441031
246	20.2039146
247	20.2034311
248	20.20295969
249	20.20234828
250	20.20183045
251	20.20154829
252	20.20135778
253	20.20070529
254	20.20024332
255	20.19997988
256	20.19975774
257	20.1991177
258	20.19878881
259	20.19847846
260	20.19826828
261	20.19805827
262	20.19778125
263	20.19752263
264	20.19708708
265	20.19689445
266	20.19643645
267	20.19619898
268	20.19606408
269	20.19576926
270	20.19522577
271	20.19488101
272	20.19433375
273	20.19421666
274	20.19402019
275	20.19383225
276	20.19366449
277	20.19344216
278	20.19320013
279	20.1927107
280	20.19230096
281	20.19214104
282	20.19174606
283	20.19140555
284	20.19101734
285	20.19085791
286	20.19054437
287	20.19017936
288	20.18993116
289	20.18957418
290	20.18929993
291	20.18877015
292	20.18866493
293	20.18847452
294	20.18827177
295	20.18804911
296	20.18782315
297	20.18753878
298	20.18705556
299	20.18670784
300	20.1864759
301	20.18635432
302	20.18604903
303	20.18592454
304	20.18575357
305	20.18559576
306	20.18545544
307	20.18524345
308	20.18514741
309	20.18479357
310	20.18448287
311	20.18420847
312	20.18387755
313	20.18358287
314	20.18318099
315	20.18288488
316	20.18276319
317	20.18266305
318	20.18247747
319	20.18216849
320	20.18198425
321	20.18162493
322	20.18135084
323	20.18101116
324	20.18072474
325	20.18046694
326	20.18020277
327	20.17984167
328	20.17959305
329	20.17940545
330	20.17926162
331	20.17920035
332	20.17910215
333	20.17904294
334	20.17874545
335	20.17859316
336	20.17851906
337	20.17825283
338	20.17808885
339	20.17774449
340	20.17735668
341	20.17714332
342	20.17702624
343	20.1768601
344	20.17661667
345	20.17651533
346	20.17632993
347	20.17600369
348	20.1758281
349	20.17559969
350	20.17523658
351	20.17504628
352	20.17475171
353	20.17465435
354	20.17458785
355	20.17443218
356	20.17436304
357	20.17415087
358	20.17390534
359	20.17352154
360	20.17343283
361	20.17325664
362	20.17315891
363	20.17285185
364	20.17275679
365	20.17267676
366	20.17261685
367	20.17233067
368	20.17217484
369	20.17204037
370	20.17186137
371	20.17166003
372	20.17138487
373	20.17132891
374	20.17117973
375	20.17100839
376	20.17083997
377	20.17077336
378	20.17050575
379	20.17035451
380	20.17009238
381	20.16988706
382	20.16967282
383	20.16963448
384	20.16949817
385	20.16913992
386	20.16889303
387	20.16875692
388	20.16868921
389	20.16863964
390	20.16847948
391	20.1683516
392	20.16826933
393	20.16797585
394	20.16781574
395	20.16775526
396	20.16762902
397	20.1675837
398	20.16747178
399	20.16730368
400	20.16709471
401	20.16696908
402	20.16696749
403	20.16690366
404	20.16682399
405	20.16658864
406	20.16646135
407	20.16638747
408	20.16635276
409	20.16616311
410	20.16603865
411	20.16581164
412	20.16575763
413	20.16558187
414	20.16543382
415	20.16528566
416	20.1649663
417	20.16466267
418	20.16437378
419	20.16433407
420	20.16420656
421	20.16404333
422	20.16398617
423	20.16387728
424	20.16379003
425	20.16369527
426	20.16353649
427	20.16343537
428	20.16336947
429	20.16331723
430	20.16317165
431	20.16306909
432	20.16303061
433	20.16292588
434	20.16287936
435	20.16273147
436	20.16247834
437	20.16226182
438	20.16215285
439	20.16211174
440	20.16195504
441	20.16183097
442	20.16169287
443	20.161645
444	20.1613208
445	20.16111639
446	20.16098888
447	20.16083761
448	20.16077172
449	20.16055226
450	20.16045422
451	20.16029782
452	20.16012493
453	20.16002224
454	20.15995272
455	20.1598287
456	20.15978606
457	20.1596274
458	20.1595632
459	20.1594571
460	20.15919324
461	20.15907818
462	20.15888697
463	20.15878338
464	20.15872479
465	20.15858088
466	20.15833009
467	20.15814465
468	20.15790468
469	20.15786225
470	20.15768603
471	20.1576268
472	20.15748466
473	20.15736151
474	20.15727122
475	20.15713302
476	20.15698135
477	20.15688413
478	20.15682292
479	20.15672324
480	20.15654871
481	20.15645893
482	20.15642653
483	20.15639041
484	20.15625793
485	20.15612946
486	20.15597733
487	20.15575177
488	20.15567169
489	20.15553992
490	20.15537629
491	20.15522923
492	20.15510433
493	20.15495545
494	20.15490406
495	20.15481382
496	20.15477902
497	20.1547213
498	20.15461299
499	20.15452815
500	20.15447329
501	20.15441562
502	20.15421127
503	20.15413845
504	20.15410374
505	20.15402421
506	20.15396902
507	20.15373793
508	20.15369314
509	20.15365718
510	20.15347469
511	20.15335704
